鞍山	122.98	41.12	14	9
澳门	113.58	22.23	9	7
包头	109.98	40.65	8	8
北京	116.39	39.91	11	6
成都	104.07	30.67	17	13
大连	121.6	39.03	7	6
福州	119.3	26.07	16	12
抚顺	123.91	41.86	9	7
广州	113.29	23.1	16	7
贵阳	106.7	26.57	19	12
哈尔滨	126.62	45.76	15	8
海口	110.33	20.03	9	5
杭州	120.17	30.25	16	12
合肥	117.30	31.85	14	12
呼和浩特	111.80	40.82	8	10
吉林	126.57	43.85	15	6
济南	116.97	36.66	6	10
喀什	76	39.48	4	5
昆明	102.7	25.05	6	6
拉萨	91.13	29.65	9	12
兰州	103.6	36.11	14	9
洛阳	112.36	34.67	8	15
南昌	115.89	28.67	7	12
南京	118.77	32.05	16	10
南宁	108.33	22.80	8	7
齐齐哈尔	123.96	47.34	16	7
青岛	120.43	36.15	12	8
上海	121.47	31.25	4	17
沈阳	123.38	41.8	5	5
石家庄	114.56	38.08	8	11
台北	121.52	25.05	10	8
太原	112.55	37.89	10	6
唐山	118.18	39.62	12	8
天津	117.19	39.13	6	13
乌鲁木齐	87.59	43.78	7	9
武汉	114.28	30.57	9	6
西安	108.88	34.27	16	12
西宁	101.75	36.63	6	8
香港	114.15	22.43	9	5
银川	106.27	38.33	9	13
长春	125.31	43.88	11	6
长沙	112.97	28.2	8	11
郑州	113.64	34.76	12	5
重庆	106.52	29.54	9	8
淄博	118.06	36.79	14	8
